科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
e,2012,1,1,511002,4,ア,e1ji201201.svg,e1ji201201.pdf,e1ji201201.png
e,2012,2,1,511001,4,イ,e1ji201202.svg,e1ji201202.pdf,e1ji201202.png
e,2012,3,1,510002,4,イ,e1ji201203.svg,e1ji201203.pdf,e1ji201203.png
e,2012,4,1,503001,4,エ,e1ji201204.svg,e1ji201204.pdf,e1ji201204.png
e,2012,5,1,510003,4,ウ,e1ji201205.svg,e1ji201205.pdf,e1ji201205.png
e,2012,6,1,511001,4,イ,e1ji201206.svg,e1ji201206.pdf,e1ji201206.png
e,2012,7,1,505004,4,ア,e1ji201207.svg,e1ji201207.pdf,e1ji201207.png
e,2012,8,1,505001,4,エ,e1ji201208.svg,e1ji201208.pdf,e1ji201208.png
e,2012,9,1,505001,4,イ,e1ji201209.svg,e1ji201209.pdf,e1ji201209.png
e,2012,10,1,514001,4,イ,e1ji201210.svg,e1ji201210.pdf,e1ji201210.png
e,2012,11,1,505004,4,ウ,e1ji201211.svg,e1ji201211.pdf,e1ji201211.png
e,2012,12,2,510003,"4,4","イ,ウ",e1ji201212.svg,e1ji201212.pdf,e1ji201212.png
e,2012,13,2,507001,"4,4","エ,エ",e1ji201213.svg,e1ji201213.pdf,e1ji201213.png
e,2012,14,1,508004,4,ア,e1ji201214.svg,e1ji201214.pdf,e1ji201214.png
e,2012,15,1,509005,4,ウ,e1ji201215.svg,e1ji201215.pdf,e1ji201215.png
e,2012,16,2,510002,"4,4","イ,イ",e1ji201216.svg,e1ji201216.pdf,e1ji201216.png
e,2012,17,2,518001,"4,4","ア,イ",e1ji201217.svg,e1ji201217.pdf,e1ji201217.png
e,2012,18,1,511002,4,ア,e1ji201218.svg,e1ji201218.pdf,e1ji201218.png
e,2012,19,2,510002,"4,4","エ,ウ",e1ji201219.svg,e1ji201219.pdf,e1ji201219.png
e,2012,20,1,511003,4,イ,e1ji201220.svg,e1ji201220.pdf,e1ji201220.png
