科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
c,2012,1,1,302002,5,オ,c1ji201201.svg,c1ji201201.pdf,c1ji201201.png
c,2012,2,1,303002,5,ア,c1ji201202.svg,c1ji201202.pdf,c1ji201202.png
c,2012,3,1,304001,5,ウ,c1ji201203.svg,c1ji201203.pdf,c1ji201203.png
c,2012,4,1,305003,5,ウ,c1ji201204.svg,c1ji201204.pdf,c1ji201204.png
c,2012,5,1,305003,4,ウ,c1ji201205.svg,c1ji201205.pdf,c1ji201205.png
c,2012,6,1,305004,5,イ,c1ji201206.svg,c1ji201206.pdf,c1ji201206.png
c,2012,7,1,304002,5,イ,c1ji201207.svg,c1ji201207.pdf,c1ji201207.png
c,2012,8,1,307002,5,エ,c1ji201208.svg,c1ji201208.pdf,c1ji201208.png
c,2012,9,2,307001,"5,5","エ,イ",c1ji201209.svg,c1ji201209.pdf,c1ji201209.png
c,2012,10,2,308001,"5,5","ア,イ",c1ji201210.svg,c1ji201210.pdf,c1ji201210.png
c,2012,11,1,308001,4,ア,c1ji201211.svg,c1ji201211.pdf,c1ji201211.png
c,2012,12,1,311002,5,ウ,c1ji201212.svg,c1ji201212.pdf,c1ji201212.png
c,2012,13,1,311002,5,ア,c1ji201213.svg,c1ji201213.pdf,c1ji201213.png
c,2012,14,1,312009,5,オ,c1ji201214.svg,c1ji201214.pdf,c1ji201214.png
c,2012,15,2,312011,"5,5","ア,エ",c1ji201215.svg,c1ji201215.pdf,c1ji201215.png
c,2012,16,1,314001,5,イ,c1ji201216.svg,c1ji201216.pdf,c1ji201216.png
c,2012,17,2,314001,"5,5","イ,イ",c1ji201217.svg,c1ji201217.pdf,c1ji201217.png
c,2012,18,1,312009,5,エ,c1ji201218.svg,c1ji201218.pdf,c1ji201218.png
c,2012,19,1,312012,4,エ,c1ji201219.svg,c1ji201219.pdf,c1ji201219.png
c,2012,20,1,313001,4,エ,c1ji201220.svg,c1ji201220.pdf,c1ji201220.png
c,2012,21,1,313001,4,ア,c1ji201221.svg,c1ji201221.pdf,c1ji201221.png
c,2012,22,1,313001,4,エ,c1ji201222.svg,c1ji201222.pdf,c1ji201222.png
c,2012,23,1,313001,4,ウ,c1ji201223.svg,c1ji201223.pdf,c1ji201223.png
c,2012,24,1,313001,4,エ,c1ji201224.svg,c1ji201224.pdf,c1ji201224.png
c,2012,25,2,315001,"4,5","エ,ウ",c1ji201225.svg,c1ji201225.pdf,c1ji201225.png
c,2012,26,2,317001,"4,5","ウ,ア",c1ji201226.svg,c1ji201226.pdf,c1ji201226.png
c,2012,27,1,317003,4,イ,c1ji201227.svg,c1ji201227.pdf,c1ji201227.png
c,2012,28,2,316004,"5,5","イ,ア",c1ji201228.svg,c1ji201228.pdf,c1ji201228.png
c,2012,29,1,316003,4,イ,c1ji201229.svg,c1ji201229.pdf,c1ji201229.png
c,2012,30,1,318003,4,イ,c1ji201230.svg,c1ji201230.pdf,c1ji201230.png
c,2012,31,1,322001,5,ウ,c1ji201231.svg,c1ji201231.pdf,c1ji201231.png
c,2012,32,1,324001,5,オ,c1ji201232.svg,c1ji201232.pdf,c1ji201232.png
c,2012,33,2,315004,"4,5","イ,オ",c1ji201233.svg,c1ji201233.pdf,c1ji201233.png
