科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
g,2011,1,1,701001,5,ウ,g1ji201101.svg,g1ji201101.pdf,g1ji201101.png
g,2011,2,1,701004,5,ア,g1ji201102.svg,g1ji201102.pdf,g1ji201102.png
g,2011,3,2,701005,"5,4","ウ,イ",g1ji201103.svg,g1ji201103.pdf,g1ji201103.png
g,2011,4,1,701004,5,ア,g1ji201104.svg,g1ji201104.pdf,g1ji201104.png
g,2011,5,3,701003,"4,5,4","イ,オ,イ",g1ji201105.svg,g1ji201105.pdf,g1ji201105.png
g,2011,6,2,702004,"4,4","イ,エ",g1ji201106.svg,g1ji201106.pdf,g1ji201106.png
g,2011,7,3,702004,"5,5,5","イ,エ,イ",g1ji201107.svg,g1ji201107.pdf,g1ji201107.png
g,2011,8,2,702005,"5,5","ア,エ",g1ji201108.svg,g1ji201108.pdf,g1ji201108.png
g,2011,9,2,702001,"4,5","イ,エ",g1ji201109.svg,g1ji201109.pdf,g1ji201109.png
g,2011,10,3,702005,"4,5,4","イ,イ,ア",g1ji201110.svg,g1ji201110.pdf,g1ji201110.png
g,2011,11,1,702002,4,ア,g1ji201111.svg,g1ji201111.pdf,g1ji201111.png
g,2011,12,1,703001,4,ア,g1ji201112.svg,g1ji201112.pdf,g1ji201112.png
g,2011,13,2,703001,"4,4","ア,ア",g1ji201113.svg,g1ji201113.pdf,g1ji201113.png
g,2011,14,3,703004,"4,4,4","エ,ア,ウ",g1ji201114.svg,g1ji201114.pdf,g1ji201114.png
g,2011,15,2,703004,"4,4","エ,ア",g1ji201115.svg,g1ji201115.pdf,g1ji201115.png
g,2011,16,2,703002,"4,4","イ,ウ",g1ji201116.svg,g1ji201116.pdf,g1ji201116.png
g,2011,17,1,703002,4,イ,g1ji201117.svg,g1ji201117.pdf,g1ji201117.png
g,2011,18,2,703002,"4,4","ウ,ウ",g1ji201118.svg,g1ji201118.pdf,g1ji201118.png
g,2011,19,1,703002,4,ア,g1ji201119.svg,g1ji201119.pdf,g1ji201119.png
g,2011,20,1,703002,4,ア|エ,g1ji201120.svg,g1ji201120.pdf,g1ji201120.png
g,2011,21,2,703002,"4,4","ア,ア",g1ji201121.svg,g1ji201121.pdf,g1ji201121.png
g,2011,22,1,703002,4,ウ,g1ji201122.svg,g1ji201122.pdf,g1ji201122.png
g,2011,23,1,703002,4,イ,g1ji201123.svg,g1ji201123.pdf,g1ji201123.png
g,2011,24,1,703002,4,エ,g1ji201124.svg,g1ji201124.pdf,g1ji201124.png
g,2011,25,1,703002,5,エ,g1ji201125.svg,g1ji201125.pdf,g1ji201125.png
