科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
c,2011,1,1,302002,5,エ,c1ji201101.svg,c1ji201101.pdf,c1ji201101.png
c,2011,2,2,303003,"5,5","オ,ウ",c1ji201102.svg,c1ji201102.pdf,c1ji201102.png
c,2011,3,1,302001,5,イ,c1ji201103.svg,c1ji201103.pdf,c1ji201103.png
c,2011,4,1,302001,5,ア,c1ji201104.svg,c1ji201104.pdf,c1ji201104.png
c,2011,5,1,305006,5,エ,c1ji201105.svg,c1ji201105.pdf,c1ji201105.png
c,2011,6,1,305003,5,ウ,c1ji201106.svg,c1ji201106.pdf,c1ji201106.png
c,2011,7,2,304001,"5,5","オ,エ",c1ji201107.svg,c1ji201107.pdf,c1ji201107.png
c,2011,8,1,303004,4,エ,c1ji201108.svg,c1ji201108.pdf,c1ji201108.png
c,2011,9,1,307001,5,ウ,c1ji201109.svg,c1ji201109.pdf,c1ji201109.png
c,2011,10,1,307001,5,エ,c1ji201110.svg,c1ji201110.pdf,c1ji201110.png
c,2011,11,1,308001,5,ウ,c1ji201111.svg,c1ji201111.pdf,c1ji201111.png
c,2011,12,1,311002,5,イ,c1ji201112.svg,c1ji201112.pdf,c1ji201112.png
c,2011,13,1,312003,5,ア,c1ji201113.svg,c1ji201113.pdf,c1ji201113.png
c,2011,14,1,313003,4,ウ,c1ji201114.svg,c1ji201114.pdf,c1ji201114.png
c,2011,15,1,313004,5,ウ,c1ji201115.svg,c1ji201115.pdf,c1ji201115.png
c,2011,16,1,312008,4,エ,c1ji201116.svg,c1ji201116.pdf,c1ji201116.png
c,2011,17,1,312005,5,ウ,c1ji201117.svg,c1ji201117.pdf,c1ji201117.png
c,2011,18,1,312010,4,ウ,c1ji201118.svg,c1ji201118.pdf,c1ji201118.png
c,2011,19,2,312009,"5,5","ア,ア",c1ji201119.svg,c1ji201119.pdf,c1ji201119.png
c,2011,20,1,313005,5,イ,c1ji201120.svg,c1ji201120.pdf,c1ji201120.png
c,2011,21,1,313001,4,エ,c1ji201121.svg,c1ji201121.pdf,c1ji201121.png
c,2011,22,1,313001,4,ア,c1ji201122.svg,c1ji201122.pdf,c1ji201122.png
c,2011,23,1,313001,4,ウ,c1ji201123.svg,c1ji201123.pdf,c1ji201123.png
c,2011,24,1,313001,4,イ,c1ji201124.svg,c1ji201124.pdf,c1ji201124.png
c,2011,25,1,313001,4,イ,c1ji201125.svg,c1ji201125.pdf,c1ji201125.png
c,2011,26,2,320001,"5,5","オ,ウ",c1ji201126.svg,c1ji201126.pdf,c1ji201126.png
c,2011,27,3,318003,"5,5,5","エ,イ,オ",c1ji201127.svg,c1ji201127.pdf,c1ji201127.png
c,2011,28,1,316004,5,ア,c1ji201128.svg,c1ji201128.pdf,c1ji201128.png
c,2011,29,1,321002,4,エ,c1ji201129.svg,c1ji201129.pdf,c1ji201129.png
c,2011,30,2,322003,"5,5","ア,ウ",c1ji201130.svg,c1ji201130.pdf,c1ji201130.png
c,2011,31,2,319002,"5,5","オ,エ",c1ji201131.svg,c1ji201131.pdf,c1ji201131.png
c,2011,32,2,323004,"5,5","イ,ウ",c1ji201132.svg,c1ji201132.pdf,c1ji201132.png
