科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
g,2012,1,1,701003,5,ア,g1ji201201.svg,g1ji201201.pdf,g1ji201201.png
g,2012,2,3,701001,"5,4,5","イ,ウ,ウ",g1ji201202.svg,g1ji201202.pdf,g1ji201202.png
g,2012,3,2,701005,"5,4","ウ,*",g1ji201203.svg,g1ji201203.pdf,g1ji201203.png
g,2012,4,3,702002,"5,4,4","エ,イ,ア",g1ji201204.svg,g1ji201204.pdf,g1ji201204.png
g,2012,5,3,701001,"5,5,5","オ,イ,エ",g1ji201205.svg,g1ji201205.pdf,g1ji201205.png
g,2012,6,1,702005,5,ウ,g1ji201206.svg,g1ji201206.pdf,g1ji201206.png
g,2012,7,2,702005,"5,4","ウ,ウ",g1ji201207.svg,g1ji201207.pdf,g1ji201207.png
g,2012,8,1,702003,5,エ,g1ji201208.svg,g1ji201208.pdf,g1ji201208.png
g,2012,9,2,702003,"5,4","オ,ウ",g1ji201209.svg,g1ji201209.pdf,g1ji201209.png
g,2012,10,1,702003,5,エ,g1ji201210.svg,g1ji201210.pdf,g1ji201210.png
g,2012,11,1,702001,5,イ,g1ji201211.svg,g1ji201211.pdf,g1ji201211.png
g,2012,12,1,702004,5,ア,g1ji201212.svg,g1ji201212.pdf,g1ji201212.png
g,2012,13,1,703001,4,イ,g1ji201213.svg,g1ji201213.pdf,g1ji201213.png
g,2012,14,1,703004,4,イ,g1ji201214.svg,g1ji201214.pdf,g1ji201214.png
g,2012,15,1,703002,4,イ,g1ji201215.svg,g1ji201215.pdf,g1ji201215.png
g,2012,16,2,703002,"4,4","ウ,ウ",g1ji201216.svg,g1ji201216.pdf,g1ji201216.png
g,2012,17,1,703005,4,イ,g1ji201217.svg,g1ji201217.pdf,g1ji201217.png
g,2012,18,1,703002,4,ウ,g1ji201218.svg,g1ji201218.pdf,g1ji201218.png
g,2012,19,1,703003,4,エ,g1ji201219.svg,g1ji201219.pdf,g1ji201219.png
g,2012,20,1,703002,4,ウ,g1ji201220.svg,g1ji201220.pdf,g1ji201220.png
g,2012,21,2,703002,"5,4","ア,イ",g1ji201221.svg,g1ji201221.pdf,g1ji201221.png
g,2012,22,1,703002,4,イ,g1ji201222.svg,g1ji201222.pdf,g1ji201222.png
g,2012,23,2,703002,"4,4","ア,ウ",g1ji201223.svg,g1ji201223.pdf,g1ji201223.png
g,2012,24,2,703002,"4,4","ウ,ア",g1ji201224.svg,g1ji201224.pdf,g1ji201224.png
g,2012,25,2,703002,"4,4","ア,イ",g1ji201225.svg,g1ji201225.pdf,g1ji201225.png
g,2012,26,1,703002,4,ウ,g1ji201226.svg,g1ji201226.pdf,g1ji201226.png
g,2012,27,1,703006,5,ウ,g1ji201227.svg,g1ji201227.pdf,g1ji201227.png
g,2012,28,1,703003,4,ア,g1ji201228.svg,g1ji201228.pdf,g1ji201228.png
