科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
a,2011,1,1,101001,4,イ,a1ji201101.svg,a1ji201101.pdf,a1ji201101.png
a,2011,2,1,102001,4,エ,a1ji201102.svg,a1ji201102.pdf,a1ji201102.png
a,2011,3,1,108002,4,ウ,a1ji201103.svg,a1ji201103.pdf,a1ji201103.png
a,2011,4,1,103006,4,ウ,a1ji201104.svg,a1ji201104.pdf,a1ji201104.png
a,2011,5,1,103006,4,エ,a1ji201105.svg,a1ji201105.pdf,a1ji201105.png
a,2011,6,1,106002,4,イ,a1ji201106.svg,a1ji201106.pdf,a1ji201106.png
a,2011,7,1,103001,4,エ,a1ji201107.svg,a1ji201107.pdf,a1ji201107.png
a,2011,8,1,103005,4,エ,a1ji201108.svg,a1ji201108.pdf,a1ji201108.png
a,2011,9,1,103005,4,ウ,a1ji201109.svg,a1ji201109.pdf,a1ji201109.png
a,2011,10,1,104003,4,ウ,a1ji201110.svg,a1ji201110.pdf,a1ji201110.png
a,2011,11,1,104002,4,ウ,a1ji201111.svg,a1ji201111.pdf,a1ji201111.png
a,2011,12,1,106001,4,ウ,a1ji201112.svg,a1ji201112.pdf,a1ji201112.png
a,2011,13,1,106001,4,ア,a1ji201113.svg,a1ji201113.pdf,a1ji201113.png
a,2011,14,1,107004,4,エ,a1ji201114.svg,a1ji201114.pdf,a1ji201114.png
a,2011,15,1,107003,4,イ,a1ji201115.svg,a1ji201115.pdf,a1ji201115.png
a,2011,16,1,108001,4,エ,a1ji201116.svg,a1ji201116.pdf,a1ji201116.png
a,2011,17,1,108001,4,ウ,a1ji201117.svg,a1ji201117.pdf,a1ji201117.png
a,2011,18,1,108002,4,ウ,a1ji201118.svg,a1ji201118.pdf,a1ji201118.png
a,2011,19,1,108003,4,ア,a1ji201119.svg,a1ji201119.pdf,a1ji201119.png
a,2011,20,1,109002,4,エ,a1ji201120.svg,a1ji201120.pdf,a1ji201120.png
a,2011,21,1,109002,4,イ,a1ji201121.svg,a1ji201121.pdf,a1ji201121.png
a,2011,22,1,110002,4,エ,a1ji201122.svg,a1ji201122.pdf,a1ji201122.png
a,2011,23,1,110002,4,イ,a1ji201123.svg,a1ji201123.pdf,a1ji201123.png
a,2011,24,1,106004,4,ア,a1ji201124.svg,a1ji201124.pdf,a1ji201124.png
a,2011,25,1,199001,4,ウ,a1ji201125.svg,a1ji201125.pdf,a1ji201125.png
