科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
f,2012,1,1,601001,4,ウ,f1ji201201.svg,f1ji201201.pdf,f1ji201201.png
f,2012,2,1,601001,4,ウ,f1ji201202.svg,f1ji201202.pdf,f1ji201202.png
f,2012,3,1,601001,4,ウ,f1ji201203.svg,f1ji201203.pdf,f1ji201203.png
f,2012,4,1,601002,4,ア,f1ji201204.svg,f1ji201204.pdf,f1ji201204.png
f,2012,5,1,601002,4,イ,f1ji201205.svg,f1ji201205.pdf,f1ji201205.png
f,2012,6,1,601002,4,ウ,f1ji201206.svg,f1ji201206.pdf,f1ji201206.png
f,2012,7,1,602001,4,イ,f1ji201207.svg,f1ji201207.pdf,f1ji201207.png
f,2012,8,1,602001,4,エ,f1ji201208.svg,f1ji201208.pdf,f1ji201208.png
f,2012,9,1,603001,4,エ,f1ji201209.svg,f1ji201209.pdf,f1ji201209.png
f,2012,10,1,603001,4,ア,f1ji201210.svg,f1ji201210.pdf,f1ji201210.png
f,2012,11,1,604003,4,イ,f1ji201211.svg,f1ji201211.pdf,f1ji201211.png
f,2012,12,1,602005,4,エ,f1ji201212.svg,f1ji201212.pdf,f1ji201212.png
f,2012,13,1,607001,4,イ,f1ji201213.svg,f1ji201213.pdf,f1ji201213.png
f,2012,14,1,408003,4,エ,f1ji201214.svg,f1ji201214.pdf,f1ji201214.png
f,2012,15,1,602005,4,イ,f1ji201215.svg,f1ji201215.pdf,f1ji201215.png
f,2012,16,1,609001,4,エ,f1ji201216.svg,f1ji201216.pdf,f1ji201216.png
f,2012,17,1,608001,4,ア,f1ji201217.svg,f1ji201217.pdf,f1ji201217.png
f,2012,18,1,608003,4,エ,f1ji201218.svg,f1ji201218.pdf,f1ji201218.png
f,2012,19,1,608004,4,イ,f1ji201219.svg,f1ji201219.pdf,f1ji201219.png
f,2012,20,1,606001,4,ア,f1ji201220.svg,f1ji201220.pdf,f1ji201220.png
f,2012,21,1,609002,4,イ,f1ji201221.svg,f1ji201221.pdf,f1ji201221.png
f,2012,22,1,609002,4,エ,f1ji201222.svg,f1ji201222.pdf,f1ji201222.png
f,2012,23,1,608001,4,ア,f1ji201223.svg,f1ji201223.pdf,f1ji201223.png
f,2012,24,1,612002,4,ア,f1ji201224.svg,f1ji201224.pdf,f1ji201224.png
f,2012,25,1,612002,4,エ,f1ji201225.svg,f1ji201225.pdf,f1ji201225.png
