科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
b,2011,1,1,201002,4,イ,b1ji201101.svg,b1ji201101.svg,b1ji201101.svg
b,2011,2,1,201003,4,エ,b1ji201102.svg,b1ji201102.svg,b1ji201102.svg
b,2011,3,1,201003,4,イ,b1ji201103.svg,b1ji201103.svg,b1ji201103.svg
b,2011,4,1,201003,4,ウ,b1ji201104.svg,b1ji201104.svg,b1ji201104.svg
b,2011,5,1,202004,4,イ,b1ji201105.svg,b1ji201105.svg,b1ji201105.svg
b,2011,6,1,202004,4,イ,b1ji201106.svg,b1ji201106.svg,b1ji201106.svg
b,2011,7,1,202005,4,イ,b1ji201107.svg,b1ji201107.svg,b1ji201107.svg
b,2011,8,1,202006,4,ア,b1ji201108.svg,b1ji201108.svg,b1ji201108.svg
b,2011,9,2,204001,"5,5","エ,オ",b1ji201109.svg,b1ji201109.svg,b1ji201109.svg
b,2011,10,1,203002,4,ウ,b1ji201110.svg,b1ji201110.svg,b1ji201110.svg
b,2011,11,1,204002,4,ウ,b1ji201111.svg,b1ji201111.svg,b1ji201111.svg
b,2011,12,1,204003,5,ア,b1ji201112.svg,b1ji201112.svg,b1ji201112.svg
b,2011,13,1,206002,5,ウ,b1ji201113.svg,b1ji201113.svg,b1ji201113.svg
b,2011,14,1,207001,5,イ,b1ji201114.svg,b1ji201114.svg,b1ji201114.svg
b,2011,15,1,209001,4,エ,b1ji201115.svg,b1ji201115.svg,b1ji201115.svg
b,2011,16,1,208001,4,イ,b1ji201116.svg,b1ji201116.svg,b1ji201116.svg
b,2011,17,2,208002,"4,4","イ,ア",b1ji201117.svg,b1ji201117.svg,b1ji201117.svg
b,2011,18,1,210001,4,イ,b1ji201118.svg,b1ji201118.svg,b1ji201118.svg
b,2011,19,1,210002,4,ウ,b1ji201119.svg,b1ji201119.svg,b1ji201119.svg
b,2011,20,3,211002,"5,4,4","ウ,ア,ア",b1ji201120.svg,b1ji201120.svg,b1ji201120.svg
b,2011,21,1,212004,4,ア,b1ji201121.svg,b1ji201121.svg,b1ji201121.svg
