科目,年度,問題,設問数,テーマコード,選択肢数,解答,svg,pdf,png
a,2012,1,1,102009,4,ア,a1ji201201.svg,a1ji201201.svg,a1ji201201.svg
a,2012,2,1,102004,4,ウ,a1ji201202.svg,a1ji201202.svg,a1ji201202.svg
a,2012,3,1,103002,4,イ,a1ji201203.svg,a1ji201203.svg,a1ji201203.svg
a,2012,4,1,102007,4,ア,a1ji201204.svg,a1ji201204.svg,a1ji201204.svg
a,2012,5,1,102001,5,オ,a1ji201205.svg,a1ji201205.svg,a1ji201205.svg
a,2012,6,1,102006,4,ウ,a1ji201206.svg,a1ji201206.svg,a1ji201206.svg
a,2012,7,1,106002,4,エ,a1ji201207.svg,a1ji201207.svg,a1ji201207.svg
a,2012,8,2,103003,"4,4","エ,イ",a1ji201208.svg,a1ji201208.svg,a1ji201208.svg
a,2012,9,1,103001,5,ウ,a1ji201209.svg,a1ji201209.svg,a1ji201209.svg
a,2012,10,1,103002,4,イ,a1ji201210.svg,a1ji201210.svg,a1ji201210.svg
a,2012,11,1,101002,5,エ,a1ji201211.svg,a1ji201211.svg,a1ji201211.svg
a,2012,12,1,106003,5,ウ,a1ji201212.svg,a1ji201212.svg,a1ji201212.svg
a,2012,13,1,106005,4,エ,a1ji201213.svg,a1ji201213.svg,a1ji201213.svg
a,2012,14,1,106005,4,ア,a1ji201214.svg,a1ji201214.svg,a1ji201214.svg
a,2012,15,1,106002,4,エ,a1ji201215.svg,a1ji201215.svg,a1ji201215.svg
a,2012,16,1,108001,5,ウ,a1ji201216.svg,a1ji201216.svg,a1ji201216.svg
a,2012,17,1,108003,5,エ,a1ji201217.svg,a1ji201217.svg,a1ji201217.svg
a,2012,18,1,109002,4,ア,a1ji201218.svg,a1ji201218.svg,a1ji201218.svg
a,2012,19,1,109001,5,エ,a1ji201219.svg,a1ji201219.svg,a1ji201219.svg
a,2012,20,1,110002,4,ア,a1ji201220.svg,a1ji201220.svg,a1ji201220.svg
a,2012,21,1,106004,4,イ,a1ji201221.svg,a1ji201221.svg,a1ji201221.svg
a,2012,22,1,106005,4,イ,a1ji201222.svg,a1ji201222.svg,a1ji201222.svg
a,2012,23,1,107004,4,ア,a1ji201223.svg,a1ji201223.svg,a1ji201223.svg
a,2012,24,1,199001,4,エ,a1ji201224.svg,a1ji201224.svg,a1ji201224.svg
